horse_name,horse_id,sex_age_latest,starts,wins,top2,top3,win_rate,quinella_rate,show_rate,avg_finish,avg_last3f,best_last3f,first_race_date,latest_race_date,latest_course,latest_surface,latest_distance_m,latest_finish,condition_starts_json
オードゥメール,pw01dud102019103010/03,牝6,4,1,1,1,0.25,0.25,0.25,7.0,34.3,34.0,2025-01-06,2025-06-22,函館,芝,200,1,"{""中山|芝|200"": 3, ""函館|芝|200"": 1}"
オードリーバローズ,pw01dud102020104678/8F,牝5,2,1,1,1,0.5,0.5,0.5,8.5,35.4,34.3,2025-02-02,2025-03-23,中京,芝,400,16,"{""中京|芝|400"": 1, ""東京|芝|400"": 1}"
オーバーザドリーム,pw01dud102020105734/A3,牡5,5,0,0,0,0.0,0.0,0.0,8.4,38.85,37.9,2025-01-25,2025-08-02,新潟,障害,850,8,"{""中京|ダート|800"": 1, ""小倉|ダート|700"": 1, ""新潟|障害|850"": 1, ""新潟|障害|890"": 1, ""東京|障害|000"": 1}"
オーバースタンド,pw01dud102022106354/06,牡3,5,1,1,1,0.2,0.2,0.2,6.2,35.14,33.0,2025-07-12,2025-12-06,阪神,芝,600,4,"{""中京|芝|000"": 1, ""京都|芝|000"": 1, ""小倉|芝|000"": 1, ""新潟|芝|000"": 1, ""阪神|芝|600"": 1}"
オーバード,pw01dud102022103773/AA,牡3,1,0,0,0,0.0,0.0,0.0,10.0,38.3,38.3,2025-01-26,2025-01-26,中山,ダート,200,10,"{""中山|ダート|200"": 1}"
オーバーランダー,pw01dud102023104067/8A,牡2,2,0,0,0,0.0,0.0,0.0,10.0,37.95,36.0,2025-08-10,2025-08-30,中京,ダート,800,9,"{""中京|ダート|800"": 1, ""中京|芝|000"": 1}"
オーパパ,pw01dud102023103915/1E,牡2,2,0,0,0,0.0,0.0,0.0,6.5,35.85,34.7,2025-10-18,2025-11-01,東京,ダート,600,6,"{""東京|ダート|600"": 1, ""東京|芝|600"": 1}"
オーブルクール,pw01dud102021103095/CD,牝4,4,2,4,4,0.5,1.0,1.0,1.5,36.675,36.1,2025-03-16,2025-07-20,福島,ダート,150,2,"{""中山|ダート|200"": 2, ""福島|ダート|150"": 2}"
オープンファイア,pw01dud102020103373/CE,牡5,5,0,0,0,0.0,0.0,0.0,8.8,33.76,33.2,2025-04-06,2025-09-06,阪神,芝,800,6,"{""新潟|芝|600"": 1, ""東京|芝|600"": 1, ""阪神|芝|600"": 2, ""阪神|芝|800"": 1}"
オーベール,pw01dud102023104618/D3,牝2,1,0,0,0,0.0,0.0,0.0,8.0,36.6,36.6,2025-12-21,2025-12-21,阪神,芝,200,8,"{""阪神|芝|200"": 1}"
オーライカモン,pw01dud102023105011/77,牡2,2,1,1,1,0.5,0.5,0.5,3.5,33.95,33.8,2025-10-26,2025-12-06,中京,芝,600,6,"{""中京|芝|600"": 1, ""新潟|芝|600"": 1}"
オーラエグザート,pw01dud102022100158/D6,牡3,6,0,0,1,0.0,0.0,0.166667,8.6667,39.2667,35.6,2025-01-11,2025-08-30,中京,ダート,800,14,"{""中京|ダート|800"": 2, ""中京|芝|600"": 1, ""京都|ダート|800"": 1, ""新潟|ダート|800"": 1, ""阪神|芝|000"": 1}"
オールウェズキズナ,pw01dud102021105479/1B,牝4,4,0,0,0,0.0,0.0,0.0,10.0,37.5,36.1,2025-01-05,2025-07-05,函館,芝,600,11,"{""中京|ダート|800"": 1, ""函館|芝|000"": 1, ""函館|芝|600"": 1, ""阪神|芝|200"": 1}"
オールザレイジ,pw01dud102022104713/39,牝3,4,0,2,2,0.0,0.5,0.5,3.5,35.85,33.7,2025-01-25,2025-08-10,中京,ダート,400,6,"{""中京|ダート|400"": 1, ""中京|芝|400"": 1, ""京都|芝|600"": 2}"
オールザワールド,pw01dud102017105248/F3,牡8,2,0,2,2,0.0,1.0,1.0,2.0,,,2025-04-26,2025-11-15,東京,障害,110,中止,"{""京都|障害|170"": 1, ""小倉|障害|390"": 1, ""東京|障害|110"": 1}"
オールセインツ,pw01dud102021104971/89,牡4,4,0,0,0,0.0,0.0,0.0,7.25,35.725,35.3,2025-06-21,2025-12-14,阪神,芝,200,7,"{""小倉|芝|000"": 1, ""新潟|芝|200"": 1, ""阪神|芝|200"": 2}"
オールデュスヴラン,pw01dud102021104891/78,牡4,9,0,0,0,0.0,0.0,0.0,8.6667,37.6,35.0,2025-02-02,2025-12-14,中山,ダート,500,13,"{""中山|ダート|500"": 1, ""京都|芝|400"": 1, ""函館|芝|600"": 2, ""小倉|芝|600"": 2, ""福島|ダート|700"": 1, ""福島|芝|600"": 2}"
オールナット,pw01dud102021104846/67,牡4,5,1,1,2,0.2,0.2,0.4,5.8,34.38,33.5,2025-02-09,2025-12-06,阪神,芝,800,10,"{""新潟|芝|000"": 1, ""東京|芝|600"": 1, ""阪神|芝|000"": 1, ""阪神|芝|800"": 2}"
オールニッポン,pw01dud102022103212/E2,牝3,4,0,0,0,0.0,0.0,0.0,7.75,38.05,37.5,2025-03-16,2025-06-15,函館,芝,600,8,"{""中京|芝|200"": 1, ""函館|芝|600"": 1, ""福島|芝|000"": 1, ""福島|芝|600"": 1}"
オールマイデイズ,pw01dud102020103718/71,牡5,4,0,0,1,0.0,0.0,0.25,6.5,37.3,34.5,2025-03-29,2025-12-07,中山,芝,500,3,"{""中山|ダート|800"": 1, ""中山|芝|500"": 1, ""京都|ダート|800"": 1, ""新潟|ダート|800"": 1}"
オールマキシマム,pw01dud102020100387/DD,牝5,9,0,2,5,0.0,0.222222,0.555556,4.2222,37.5444,36.1,2025-03-01,2025-12-28,中山,ダート,800,4,"{""中山|ダート|800"": 3, ""函館|ダート|700"": 1, ""小倉|ダート|700"": 1, ""新潟|ダート|800"": 1, ""札幌|ダート|700"": 2, ""東京|ダート|600"": 1}"
オーレアミスト,pw01dud102022104841/B4,牡3,7,1,2,4,0.142857,0.285714,0.571429,5.5714,38.0,37.0,2025-01-13,2025-10-13,京都,ダート,900,3,"{""中京|ダート|900"": 1, ""京都|ダート|800"": 1, ""京都|ダート|900"": 2, ""東京|ダート|100"": 1, ""阪神|ダート|800"": 2}"
オーロアルジェント,pw01dud102023106797/EF,牝2,2,0,0,0,0.0,0.0,0.0,5.0,35.2,35.2,2025-10-05,2025-12-20,中京,芝,600,4,"{""中京|芝|600"": 1, ""京都|芝|800"": 1}"
オーロイプラータ,pw01dud102020103308/9D,牡5,4,1,1,1,0.25,0.25,0.25,10.0,37.4,37.0,2025-01-12,2025-06-29,小倉,障害,860,1,"{""中山|ダート|800"": 1, ""京都|ダート|800"": 1, ""小倉|障害|860"": 1, ""東京|芝|400"": 1}"
オーロプロサングエ,pw01dud102022101726/D5,牡3,3,0,0,0,0.0,0.0,0.0,16.6667,38.6,37.4,2025-01-05,2025-04-13,中山,ダート,200,15,"{""中山|ダート|200"": 1, ""中山|芝|000"": 1, ""小倉|芝|200"": 1}"
オーロベルディ,pw01dud102019103162/6A,牝6,1,0,0,0,0.0,0.0,0.0,10.0,38.3,38.3,2025-04-13,2025-04-13,福島,ダート,150,10,"{""福島|ダート|150"": 1}"
オーロラアーク,pw01dud102019102186/67,牝6,8,1,1,1,0.125,0.125,0.125,7.75,37.675,36.3,2025-02-01,2025-10-18,新潟,ダート,200,14,"{""中山|ダート|200"": 2, ""中山|ダート|800"": 1, ""小倉|ダート|700"": 1, ""新潟|ダート|200"": 2, ""東京|ダート|400"": 2}"
オーロラエックス,pw01dud102021101387/58,牝4,8,2,2,4,0.25,0.25,0.5,6.25,34.6375,33.6,2025-01-25,2025-11-16,京都,芝,200,16,"{""京都|芝|000"": 1, ""京都|芝|200"": 1, ""京都|芝|800"": 1, ""小倉|芝|000"": 1, ""新潟|芝|800"": 1, ""阪神|芝|200"": 1, ""阪神|芝|400"": 1, ""阪神|芝|800"": 1}"
オーロラボレアリス,pw01dud102023103348/81,牝2,3,0,0,0,0.0,0.0,0.0,5.3333,34.6333,33.9,2025-06-22,2025-12-06,阪神,芝,600,6,"{""中京|芝|600"": 1, ""阪神|芝|600"": 2}"
オーロヴェント,pw01dud102023101406/AE,牡2,2,0,0,0,0.0,0.0,0.0,6.5,37.15,36.6,2025-11-15,2025-12-21,阪神,ダート,200,8,"{""京都|ダート|200"": 1, ""阪神|ダート|200"": 1}"
オーロヴェール,pw01dud102021103232/76,牝4,2,0,0,0,0.0,0.0,0.0,4.0,38.25,38.1,2025-02-09,2025-07-27,札幌,ダート,700,4,"{""小倉|ダート|700"": 1, ""札幌|ダート|700"": 1}"
カイカノキセキ,pw01dud102019104536/B9,牝6,1,0,0,0,0.0,0.0,0.0,7.0,35.0,35.0,2025-01-13,2025-01-13,中京,芝,200,7,"{""中京|芝|200"": 1}"
カイキアス,pw01dud102023106882/D1,牡2,2,0,0,0,0.0,0.0,0.0,12.0,37.4,37.0,2025-11-15,2025-12-14,中京,芝,000,12,"{""中京|芝|000"": 1, ""福島|芝|000"": 1}"
カイコウ,pw01dud102021102388/BA,せん4,7,1,3,3,0.142857,0.428571,0.428571,5.8571,39.1,38.2,2025-01-06,2025-10-18,京都,障害,910,2,"{""中京|ダート|900"": 1, ""中山|ダート|800"": 3, ""京都|障害|910"": 1, ""小倉|障害|860"": 1, ""福島|障害|770"": 1}"
カイザーブリッツ,pw01dud102020106384/1E,せん5,5,0,0,0,0.0,0.0,0.0,10.8,35.55,33.6,2025-04-13,2025-12-13,中山,ダート,200,7,"{""中京|障害|000"": 1, ""中山|ダート|200"": 1, ""中山|障害|880"": 1, ""新潟|芝|000"": 1, ""新潟|障害|890"": 1}"
カイショー,pw01dud102023104998/E6,牝2,4,1,1,3,0.25,0.25,0.75,3.75,34.325,33.9,2025-06-14,2025-12-06,阪神,芝,200,3,"{""京都|芝|400"": 1, ""函館|芝|000"": 1, ""函館|芝|200"": 1, ""阪神|芝|200"": 1}"
カイタロー,pw01dud102019103063/AC,牡6,3,0,0,0,0.0,0.0,0.0,10.6667,37.4333,36.2,2025-01-18,2025-07-26,中京,障害,000,中止,"{""中京|障害|000"": 1, ""中山|ダート|200"": 1, ""京都|ダート|200"": 1, ""阪神|ダート|200"": 1}"
カイトアザリー,pw01dud102023102029/52,牝2,4,0,0,0,0.0,0.0,0.0,13.0,37.2,36.1,2025-07-26,2025-11-02,東京,芝,800,10,"{""新潟|ダート|200"": 1, ""新潟|芝|400"": 2, ""東京|芝|800"": 1}"
カイトグート,pw01dud102021106308/F6,牝4,9,0,0,0,0.0,0.0,0.0,8.6667,34.9,33.6,2025-02-15,2025-12-14,中京,芝,600,6,"{""中京|芝|600"": 2, ""東京|ダート|600"": 1, ""東京|芝|400"": 2, ""東京|芝|600"": 4}"
カイトベルク,pw01dud102022103044/96,牡3,4,0,0,0,0.0,0.0,0.0,10.5,41.4,40.1,2025-01-18,2025-06-21,東京,ダート,600,15,"{""中山|ダート|800"": 2, ""東京|ダート|100"": 1, ""東京|ダート|600"": 1}"
カイトリヒト,pw01dud102022103076/AC,牡3,4,0,0,0,0.0,0.0,0.0,9.25,38.35,36.7,2025-02-23,2025-06-15,函館,ダート,000,8,"{""中山|ダート|200"": 1, ""函館|ダート|000"": 1, ""東京|ダート|300"": 1, ""東京|ダート|400"": 1}"
カイトレッド,pw01dud102017100641/E7,牝8,4,0,0,0,0.0,0.0,0.0,8.0,,,2025-01-18,2025-05-31,東京,障害,000,中止,"{""中山|障害|880"": 2, ""京都|障害|910"": 1, ""新潟|障害|890"": 1, ""東京|障害|000"": 1}"
カイトヴァイター,pw01dud102023109039/EB,牡2,4,0,0,0,0.0,0.0,0.0,7.25,37.9,35.9,2025-06-28,2025-11-15,福島,芝,200,11,"{""中山|ダート|200"": 1, ""福島|ダート|150"": 1, ""福島|芝|200"": 2}"
カイトヴィント,pw01dud102022102991/57,牡3,8,1,1,1,0.125,0.125,0.125,8.375,40.125,37.8,2025-01-06,2025-12-14,中山,ダート,500,7,"{""中山|ダート|500"": 1, ""中山|ダート|800"": 4, ""東京|ダート|100"": 1, ""福島|ダート|700"": 2}"
カイブショウ,pw01dud102022100777/A9,牡3,1,0,0,0,0.0,0.0,0.0,9.0,39.8,39.8,2025-07-27,2025-07-27,新潟,ダート,800,9,"{""新潟|ダート|800"": 1}"
カイラーサ,pw01dud102023104476/EB,牡2,2,0,0,0,0.0,0.0,0.0,10.0,42.6,40.1,2025-10-05,2025-12-28,阪神,ダート,800,4,"{""京都|ダート|800"": 1, ""阪神|ダート|800"": 1}"
カウスリップ,pw01dud102022100627/28,牝3,7,3,3,3,0.428571,0.428571,0.428571,4.5714,36.7,34.6,2025-01-13,2025-12-28,中山,ダート,200,10,"{""中山|ダート|200"": 4, ""函館|芝|200"": 2, ""札幌|ダート|000"": 1}"
カウニスミエリ,pw01dud102022106307/0F,牝3,1,0,0,0,0.0,0.0,0.0,13.0,40.5,40.5,2025-01-26,2025-01-26,中山,ダート,200,13,"{""中山|ダート|200"": 1}"
カウネウス,pw01dud102021105487/45,牝4,2,0,0,0,0.0,0.0,0.0,15.0,39.25,36.1,2025-01-05,2025-05-24,新潟,ダート,800,14,"{""中京|芝|600"": 1, ""新潟|ダート|800"": 1}"
カウンターセブン,pw01dud102022104197/5F,牡3,9,1,2,4,0.111111,0.222222,0.444444,5.7778,35.0667,32.2,2025-01-25,2025-11-24,福島,芝,200,14,"{""中山|ダート|200"": 1, ""中山|芝|200"": 1, ""中山|芝|600"": 1, ""新潟|芝|000"": 2, ""札幌|芝|200"": 1, ""福島|芝|200"": 3}"
カウンティフェア,pw01dud102022104121/3D,牝3,9,1,1,2,0.111111,0.111111,0.222222,6.6667,36.1333,33.9,2025-02-16,2025-12-14,中京,芝,600,3,"{""中京|芝|600"": 2, ""京都|ダート|800"": 1, ""京都|芝|600"": 1, ""新潟|芝|600"": 1, ""新潟|芝|800"": 1, ""阪神|芝|000"": 1, ""阪神|芝|600"": 1, ""阪神|芝|800"": 1}"
カエルム,pw01dud102021105160/6D,牡4,7,1,2,3,0.142857,0.285714,0.428571,4.0,34.6857,33.5,2025-02-08,2025-11-16,福島,芝,600,6,"{""京都|芝|200"": 1, ""京都|芝|400"": 1, ""小倉|芝|600"": 1, ""福島|芝|600"": 2, ""阪神|芝|400"": 2}"
カガセブンスター,pw01dud102022103119/D6,牡3,6,0,0,1,0.0,0.0,0.166667,8.1667,38.7333,36.6,2025-01-06,2025-06-07,阪神,ダート,800,9,"{""中京|ダート|900"": 1, ""中京|芝|000"": 1, ""京都|ダート|800"": 1, ""京都|ダート|900"": 2, ""阪神|ダート|800"": 1}"
カガチャンプ,pw01dud102023104751/1F,牡2,2,0,0,0,0.0,0.0,0.0,10.5,36.5,35.2,2025-07-19,2025-08-16,新潟,芝,800,9,"{""新潟|芝|800"": 1, ""福島|芝|800"": 1}"
カガバベル,pw01dud102022106677/12,牡3,10,0,0,0,0.0,0.0,0.0,9.0,36.34,33.6,2025-04-20,2025-12-21,中京,ダート,200,10,"{""中京|ダート|200"": 1, ""中山|ダート|200"": 3, ""中山|芝|200"": 1, ""新潟|ダート|200"": 1, ""東京|芝|400"": 2, ""福島|ダート|150"": 2}"
カガラプンツェル,pw01dud102023103036/F8,牝2,3,0,0,0,0.0,0.0,0.0,6.0,37.3667,36.1,2025-06-14,2025-08-16,中京,ダート,200,6,"{""中京|ダート|200"": 1, ""小倉|芝|200"": 1, ""阪神|芝|200"": 1}"
カクウチ,pw01dud102023101405/3B,牡2,4,1,1,1,0.25,0.25,0.25,5.75,35.1,34.3,2025-06-15,2025-12-21,阪神,芝,600,12,"{""中京|芝|600"": 1, ""阪神|芝|600"": 2, ""阪神|芝|800"": 1}"
カゲムシャ,pw01dud102023106684/55,牡2,1,0,0,0,0.0,0.0,0.0,15.0,36.3,36.3,2025-12-20,2025-12-20,中山,芝,000,15,"{""中山|芝|000"": 1}"
カゲンノツキ,pw01dud102021102578/0C,牝4,3,0,0,0,0.0,0.0,0.0,14.3333,36.2667,34.8,2025-01-26,2025-04-20,福島,芝,200,15,"{""中京|芝|200"": 1, ""中山|芝|600"": 1, ""福島|芝|200"": 1}"
カコウガン,pw01dud102022102322/34,牡3,4,0,0,0,0.0,0.0,0.0,9.75,37.75,35.4,2025-01-13,2025-05-17,京都,芝,800,12,"{""中山|ダート|200"": 1, ""京都|芝|800"": 1, ""新潟|芝|600"": 1, ""阪神|ダート|800"": 1}"
カサナルキセキ,pw01dud102023100156/7C,牝2,3,0,0,0,0.0,0.0,0.0,12.0,35.7667,34.6,2025-10-04,2025-11-01,東京,芝,000,11,"{""新潟|芝|000"": 1, ""東京|芝|000"": 1, ""東京|芝|800"": 1}"
カサビセンス,pw01dud102022105337/50,牝3,8,0,1,2,0.0,0.125,0.25,8.125,38.1125,36.3,2025-01-11,2025-09-13,中山,ダート,800,4,"{""中京|芝|200"": 1, ""中山|ダート|800"": 1, ""中山|芝|000"": 1, ""新潟|ダート|800"": 1, ""東京|ダート|100"": 2, ""福島|ダート|700"": 1, ""福島|芝|600"": 1}"
カサブランカキッド,pw01dud102020104936/FC,牡5,6,0,0,1,0.0,0.0,0.166667,8.3333,36.1833,34.9,2025-01-26,2025-12-20,中山,ダート,200,11,"{""中京|ダート|200"": 1, ""中山|ダート|200"": 2, ""東京|ダート|300"": 3}"
カザンラク,pw01dud102022104666/B1,牡3,5,0,0,2,0.0,0.0,0.4,5.6,34.18,33.2,2025-03-02,2025-10-05,東京,芝,800,3,"{""中山|芝|600"": 1, ""新潟|芝|600"": 1, ""東京|芝|400"": 1, ""東京|芝|600"": 1, ""東京|芝|800"": 1}"
カザーナ,pw01dud102022100364/7C,牝3,1,0,0,0,0.0,0.0,0.0,15.0,39.9,39.9,2025-02-23,2025-02-23,東京,ダート,400,15,"{""東京|ダート|400"": 1}"
